,Min,Max,Mean,Rms,Var,Std,Peak,P2p,CrestFactor,Skew,Kurtosis,FormFactor,PulseIndicator,Max_f,Sum_f,Mean_f,Var_f,Peak_f
0,-25016,31140,6103.909333333333,10429.894929736029,71524999.09577957,8457.245360977744,31140,56156,2.9856484854146204,-0.5793072121465056,2.593022111115734,1.7087237637653905,5.101648517278107,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
1,-30700,32767,6811.233333333334,10480.240905691688,63442549.92022223,7965.083170954477,32767,63467,3.126550266817307,-0.7625514293397537,3.5381324082701835,1.5386700752714908,4.810729334383885,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
2,-31788,32767,6941.961333333334,10618.051029261444,64552180.506504886,8034.437161774612,32767,64555,3.085971230473467,-0.6946131425016303,3.4359722248913056,1.5295462650125358,4.720135769506831,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
3,-23280,32767,6983.905333333333,10588.7627546061,63346962.96837156,7959.08053536158,32767,56047,3.0945069560413367,-0.4537324765708942,2.9046742549395317,1.5161664211092925,4.691787536639004,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
4,-15788,26208,6984.618666666666,10356.697277414263,58476280.57725155,7646.978526009574,26208,41996,2.5305364536582555,-0.5073049252287993,2.3560334239585616,1.4827863583792307,3.752244932865817,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
5,-25752,32767,7011.71,10536.133265766906,61846027.06989999,7864.224505308835,32767,58519,3.1099644597761213,-0.6048687826443319,3.0822916648197625,1.5026481793694986,4.673182433386435,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
6,-17464,32767,7374.3133333333335,10414.351608493605,54078222.28715556,7353.789654807619,32767,50231,3.1463312582298744,-0.5968513253597076,3.332949597329176,1.4122469629027976,4.443396763721277,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
7,-30256,32767,7090.589333333333,10690.843083062564,64017668.73268623,8001.104219586583,32767,63023,3.0649593998730142,-0.8438535039732933,4.099247233157322,1.50775098944233,4.621195567759107,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
8,-18980,32767,7172.436,10463.93672668179,58050133.645904005,7619.063830019014,32767,51747,3.131421840161558,-0.7078800626424837,3.516447986758346,1.458909738153368,4.568461816877837,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
9,-20328,32767,7263.146,10470.244278621201,56872725.436684,7541.4007609119935,32767,53095,3.129535388864394,-0.6088408151730496,3.4355107711274666,1.4415577325061621,4.511405938969147,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
10,-26968,32767,7616.967333333333,10523.225770741594,52720089.26493288,7260.8600912655575,32767,59735,3.1137790553828286,-0.9602913110023859,5.034012459677732,1.3815505975311075,4.301843314543995,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
11,-24868,32764,7628.178666666667,10677.487846867352,55819636.94941156,7471.2540412846065,32764,57632,3.06851203858898,-0.7716952791929435,4.665703847152342,1.399742758192784,4.295127504442301,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
12,-32768,32767,6115.857333333333,10600.623871137648,74969515.53564622,8658.493837593593,32768,65535,3.0911388233684565,-0.6232783035751257,3.375552267314929,1.7333013661651222,5.357875145550594,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
13,-20000,29796,6780.181333333333,10286.883654311121,59849116.40445156,7736.221067449635,29796,49796,2.8965040338054977,-0.6879193473778205,2.859055126432572,1.5171988990527179,4.394572731191457,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
14,-28992,32767,5133.136,10706.374184755547,88277362.989504,9395.603386132472,32767,61759,3.060513245152206,0.17695383799453454,2.272560886431061,2.0857374877181405,6.383427207071856,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
15,-15448,29216,4869.672,10542.861181292297,87438216.500416,9350.840416797626,29216,44664,2.7711642501602998,0.3601614454471444,1.7743593704302973,2.165004374276604,5.999582723435994,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
16,-16296,32767,5011.79,10639.85169129094,88088405.00856666,9385.542339607588,32767,49063,3.079648189722498,0.31923147632963245,1.9894815714177183,2.12296438823074,6.537983435060128,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
17,-20832,29532,6163.738666666667,10560.598440618789,73534565.07303824,8575.229738790573,29532,50364,2.7964324338299145,-0.21095744924423404,2.143900207709668,1.7133429906316797,4.791247909277573,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
18,-20932,31460,6761.362666666667,10374.429897653814,61912770.591139555,7868.466851371972,31460,52392,3.032455788931082,-0.4587883188372573,2.4403380873530036,1.5343696839099417,4.652908230333057,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
19,-15832,32767,7025.057333333333,10259.884104413655,55913791.29937956,7477.5524939233665,32767,48599,3.193700792965498,-0.46315892988409846,2.510778220205709,1.460469803674246,4.664303570096605,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
20,-22840,30988,7475.413333333333,10361.007685355706,51468675.751822226,7174.1672514531065,30988,53828,2.9908287823971578,-0.6386300057914404,3.344313148851392,1.386011344570785,4.145322622071288,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
21,-31720,32767,6949.378,10487.492501483215,61693644.38178267,7854.53018211673,32767,64487,3.124388407940779,-0.6545405629070897,3.7864796437798796,1.509126788251152,4.715098243324799,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
22,-13096,26184,6780.736,10236.681636285592,58811270.220970675,7668.850645368619,26184,39280,2.557860147490231,-0.5293792193409489,2.2181981508864093,1.5096711678917438,3.861527716165325,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
23,-15208,26708,6667.1466666666665,10310.940786562593,61864655.229155555,7865.408776990269,26708,41916,2.5902583045386467,-0.4799176318261661,2.2988653812716633,1.5465297678411043,4.005911574366646,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
24,-21856,32767,6414.281333333333,10432.91096949137,67702626.27418488,8228.160564438742,32767,54623,3.140734172449041,-0.37113369656373363,2.275340854222638,1.6265128433444718,5.108444469019236,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
25,-18228,29384,5514.592,10541.2595356216,80707427.67086932,8983.731277752542,29384,47612,2.787522677029626,0.1834858657901357,1.8895627852686208,1.9115212033132463,5.328408701858633,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
26,-22056,32767,5269.1613333333335,10535.643513141473,83235723.07930489,9123.361391466682,32767,54823,3.110109027429467,0.15098327424053903,1.9282389197132535,1.9994915408058878,6.218636691329246,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
27,-15120,25824,5883.266666666666,10424.345494913978,74054152.32622223,8605.472231447977,25824,40944,2.477277831265233,-0.09184154142607469,1.8493174271718897,1.771863504670984,4.3893981801493505,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
