"-2568","-1864","2692","-700","180","1516","992","3272","3740","1980","2404","6416","-1740","904","3164","-1068","2712","204","-1200","532","2368","1416","2996","1636","2592","552","1132","632","-2116","-1188","748","-2636","168","2776","-696","1312","-2096","-2712","-4636","-3716","-5172","-1688","-1000","-1632","460","-2092","168","600","2240","2160","1120","-404","4228","-2188","-2852","-1432","-1880","-2600","-2008","-936","7820","9052","7704","8528","9944","6676","9756","9144","9076","8712","7780","10040","9684","8952","9140","8692","9900","10552","12364","11532","13776","7212","7508","8308","-5260","-2816","-2468","-4184","-6268","-2808","-5180","-2684","4596","-4956","-4564","-4056","-2312","-6304","-3916","-4640","-6860","-6660","-5456","-3200","-3344","-3288","-4148","-5180","12736","10356","8360","14692","13120","17788","12544","11560","16540","10592","10256","9228"
"-2060","-1984","1464","-1364","-60","1112","980","2464","2704","2456","1008","6136","-2504","280","2832","-656","3484","996","-1164","-232","2116","1392","2460","1260","2220","956","2332","876","-2540","-2184","452","-1144","-156","3280","-664","712","-1016","-2176","-4796","-4536","-5120","-2024","-1236","-2636","-876","-1072","-608","-1448","3164","2512","36","-1960","3740","-2192","-2364","-368","-1640","-3652","-1452","-3364","7800","8912","7556","7812","8364","6596","9332","8928","9264","8384","7812","9656","9904","8668","8456","7832","9720","10564","13556","11444","13584","7368","7944","8092","-6180","-3152","-2224","-4628","-6300","-1624","-5304","-2824","3148","-5192","-4952","-3716","-2928","-7036","-3148","-3836","-6808","-6600","-5028","-3616","-4484","-2680","-3464","-5108","13656","10388","9868","15588","16428","20044","13044","10468","15416","10208","10984","9344"
"-2216","-1776","-108","-1900","-504","2456","500","1456","1756","2308","116","6372","-3832","448","3012","-1104","4640","976","-2796","-336","1300","732","1676","1064","1196","1224","1292","692","-1744","-1996","288","524","184","3348","-452","608","-152","-3024","-5252","-6168","-5272","-1992","-1552","-3292","-1796","-1172","-592","-1612","-292","-364","-668","-2248","2536","-1744","-1944","1044","-2172","-740","-1016","-4696","7332","9484","7928","6836","8300","6432","9520","8388","9188","8252","8716","9236","10716","9224","8052","7624","9548","10536","13952","11060","13424","7672","8000","7868","-6220","-3120","-1688","-4796","-6440","-384","-5280","-3360","-2124","-5008","-4836","-3332","-3640","-7052","-2220","-3468","-6836","-6500","-4708","-3552","-5268","-2576","-2528","-4988","13656","11696","12068","17488","16416","20148","13504","10564","15264","10012","11632","9668"
"-2352","-1928","-1812","-2340","-548","2872","-208","1968","1736","1904","464","8052","-4324","780","3748","-1328","3296","2060","-3752","268","188","468","1164","1188","-96","536","1352","568","-1036","-1684","-256","348","-336","2920","-4","1196","340","-3164","-5568","-6308","-5012","-1900","-1484","-2600","-1712","-588","-460","-840","-1888","-692","-224","-864","3432","-2072","-2528","2608","-3388","1064","-436","-4760","7336","9600","8312","6024","8732","6448","10148","9204","9148","8148","8708","9292","10452","9756","8084","7536","9348","10172","13868","10396","13536","7624","7896","7836","-6304","-2936","-2196","-4964","-6440","540","-5452","-3912","-6888","-4508","-4184","-2944","-4392","-6848","-1952","-2596","-7012","-6264","-4696","-3612","-6468","-2492","-1328","-4700","14584","14088","18920","18604","15400","19412","15472","10572","16504","10068","12308","9152"
"-1436","-3044","-2060","-1752","-560","2544","-676","1884","1656","1508","1668","9936","-4420","2028","3636","-1380","2580","3904","-4108","2216","248","572","420","1276","-1484","-272","600","2460","-836","-1700","-2196","-1396","392","2928","912","1080","12","-404","-5796","-4460","-4480","-2088","-2576","-2240","-1176","156","-1412","-48","632","-112","992","-132","6396","-3596","-2648","3256","-3356","1920","356","-4256","7312","8688","7604","5272","8480","6392","9932","11068","9128","7888","8504","9060","9736","9636","8456","7484","8736","10584","13980","10060","13516","7336","7584","7460","-6936","-2940","-2372","-5232","-6320","744","-5804","-3804","-11256","-4004","-3744","-2900","-4800","-6532","-1576","-2420","-6880","-6132","-4568","-3804","-7004","-2476","-704","-4312","15428","15880","21100","18916","16860","18936","16072","10740","16576","10580","15328","9420"
"-212","-3680","-1620","-1024","-764","2452","-192","2008","1428","956","1920","13724","-4140","2064","3920","-572","5036","5728","-2860","3804","696","1228","40","972","-976","-920","-804","4900","920","-1852","-2156","-2148","804","3432","1200","1228","156","676","-6972","-1812","-4292","-2448","-3204","-1684","-428","840","-1524","940","5392","-108","2000","1164","8068","-3036","-2168","4164","-2464","3420","1244","-1008","7068","8244","7208","5548","8320","6640","9172","12188","9140","7904","8432","9064","8948","8712","8708","6976","8776","10448","14772","10476","13428","7144","7792","7320","-7276","-2552","-2512","-5148","-5880","328","-6368","-3556","-12884","-3528","-3592","-2776","-4940","-5736","-2240","-2908","-6832","-6028","-4400","-5388","-7044","-2280","-500","-4104","15540","16932","20284","19036","15744","16320","14588","10940","15940","11048","16956","10440"
"2224","-3588","152","-1224","-888","1076","1132","3616","2812","400","1256","18692","-3752","1376","4040","-896","4744","8548","-356","2908","664","2728","-744","920","72","-64","196","6240","2176","-1780","-1132","-1968","900","3040","844","1272","1240","144","-7444","-412","-4304","-2664","-840","-1288","808","1368","-1236","700","5432","84","6180","6472","11072","-876","-1620","5492","-1936","5628","516","3632","7984","8324","7112","7500","8600","6580","8604","10696","9112","8236","8712","8992","9132","8448","8892","6764","9104","10308","14540","10660","13480","6876","7968","7376","-7160","-2568","-3780","-5196","-5708","-1116","-6544","-3324","-12284","-2728","-3872","-2824","-4908","-4656","-2320","-3604","-6452","-5852","-4472","-6116","-6924","-2352","1096","-3588","14624","20832","17128","18732","11820","12476","14492","11216","16316","11040","18476","11620"
"4044","-3032","3328","-1072","-756","640","2436","7464","3456","900","2680","23880","-3488","40","4396","-2440","2896","9316","504","1388","1120","3280","-712","820","480","1836","2004","6748","2224","-2144","-440","-1024","744","2508","592","2232","464","-156","-5976","608","-4224","-2456","1860","-1300","2912","1932","-1680","144","4244","536","12544","13952","10988","1216","-724","4812","-1588","7080","-800","6804","8632","7992","7736","8972","8820","6480","7548","8392","9132","8208","9364","9008","8924","8508","8544","6124","9748","9624","12408","11024","13228","6824","8380","7216","-5712","-2524","-5448","-5456","-4964","-3432","-6464","-3164","-11888","-2412","-4132","-2948","-5108","-4848","-1464","-5460","-6284","-5772","-4448","-7564","-6992","-3480","2568","-3116","14576","25052","14556","15804","8228","10756","17532","11700","15528","10904","17184","13096"
"7696","-1848","7164","888","-212","540","2636","9772","2272","1072","4212","20024","-2840","-436","4816","-4108","812","9272","1716","-80","2032","3388","916","1016","184","3468","3796","7584","3516","-2072","-556","1904","152","2512","976","3036","-1848","-212","-4036","252","-4236","-2416","4208","-964","5648","2084","-1536","576","6508","1092","13848","22288","9896","2060","-584","3724","-1112","7644","-1400","6728","9528","7344","8572","8896","8820","6708","6600","7104","9608","7752","9892","9088","8624","8692","7904","6208","9900","9288","10984","11600","12992","7096","8384","7116","-3880","-2212","-6956","-5492","-3976","-5844","-6056","-3436","-11204","-2164","-4224","-3324","-5092","-4752","-916","-7408","-5872","-5872","-4264","-9724","-6380","-5208","2232","-2868","15736","20692","10320","10148","2792","9144","17920","12592","12780","11040","13536","12832"
"10672","508","10720","4720","460","4264","3036","14920","1588","1556","3528","14672","-2296","192","3984","-5068","-692","5752","5032","-1216","2016","3272","3204","460","-204","4348","3896","7284","4580","-2144","-592","5724","1432","1656","1872","3780","-3864","-2052","-3264","-1356","-3308","-2456","4440","692","8340","2284","-1172","1996","10108","508","13172","28588","4316","2912","-284","1168","-792","4812","-772","5904","10420","7120","8656","7992","8772","7620","5964","7100","9748","6952","10832","9456","8284","8884","7740","6544","10052","9456","9740","10348","12820","7184","8620","6856","-2456","-1652","-8200","-5368","-3492","-7844","-5816","-3544","-9972","-1832","-4156","-3752","-5116","-5628","-552","-8400","-5804","-6464","-4308","-11232","-5708","-6992","1336","-2776","14360","11356","1968","7452","628","6268","14220","13552","11036","11288","11496","11388"
